Player,Age,Pos,Tm,G,MP,FG,FGA,FGp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,PTS,PTS_per_game,Salary,TRB_per_game,ORB_per_game
Lauri Markkanen,21,PF,CHI,52,1682,342,795,0.43,222,463,0.479,170,195,0.872,74,396,470,974,18.731,4536120,9.038,1.423
Luke Kornet,23,PF,NYK,46,784,107,283,0.378,37,90,0.411,38,46,0.826,28,107,135,322,7,1619260,2.935,0.609
Marcus Derrickson,22,PF,GSW,11,67,16,33,0.485,6,13,0.462,4,5,0.8,8,5,13,46,4.182,77250,1.182,0.727
Marcus Morris,29,PF,BOS,75,2091,377,844,0.447,231,455,0.508,146,173,0.844,76,382,458,1046,13.947,5375000,6.107,1.013
Marvin Bagley,19,PF,SAC,62,1567,356,706,0.504,326,610,0.534,181,262,0.691,162,309,471,923,14.887,7314960,7.597,2.613
Marvin Williams,32,PF,CHO,75,2133,275,652,0.422,135,270,0.5,66,86,0.767,76,331,407,756,10.08,14087500,5.427,1.013
Maxi Kleber,27,PF,DAL,71,1502,175,386,0.453,98,168,0.583,58,74,0.784,90,239,329,485,6.831,1378242,4.634,1.268
Michael Beasley,30,PF,LAL,26,277,75,153,0.49,72,136,0.529,28,39,0.718,13,47,60,181,6.962,3500000,2.308,0.5
Michael Kidd-Gilchrist,25,PF,CHO,64,1179,158,332,0.476,142,285,0.498,95,123,0.772,88,158,246,427,6.672,13000000,3.844,1.375
Nemanja Bjelica,30,PF,SAC,77,1788,284,593,0.479,181,336,0.539,70,92,0.761,125,319,444,741,9.623,6500000,5.766,1.623
Noah Vonleh,23,PF,NYK,68,1722,207,440,0.47,161,303,0.531,111,156,0.712,113,415,528,571,8.397,1621415,7.765,1.662
Omari Spellman,21,PF,ATL,46,805,98,244,0.402,54,116,0.466,32,45,0.711,72,122,194,272,5.913,1622520,4.217,1.565
Pascal Siakam,24,PF,TOR,80,2548,519,945,0.549,440,731,0.602,237,302,0.785,124,425,549,1354,16.925,1544951,6.862,1.55
Patrick Patterson,29,PF,OKC,63,861,82,219,0.374,36,82,0.439,19,30,0.633,42,105,147,229,3.635,5451600,2.333,0.667
Paul Millsap,33,PF,DEN,70,1895,322,665,0.484,264,506,0.522,181,249,0.727,153,352,505,883,12.614,29230769,7.214,2.186
PJ Tucker,33,PF,HOU,82,2802,207,523,0.396,61,136,0.449,41,59,0.695,121,358,479,601,7.329,7959537,5.841,1.476
Quincy Acy,28,PF,PHO,10,123,4,18,0.222,2,3,0.667,7,10,0.7,3,22,25,17,1.7,213948,2.5,0.3
Rudy Gay,32,PF,SAS,69,1842,376,746,0.504,302,562,0.537,120,147,0.816,63,407,470,946,13.71,10087200,6.812,0.913
Semi Ojeleye,24,PF,BOS,56,594,67,158,0.424,39,69,0.565,24,39,0.615,24,62,86,186,3.321,1378242,1.536,0.429
Taj Gibson,33,PF,MIN,70,1686,304,537,0.566,293,503,0.583,134,177,0.757,172,286,458,753,10.757,14000000,6.543,2.457
Terrence Jones,27,PF,HOU,2,5,1,4,0.25,1,2,0.5,0,1,0,0,4,4,2,1,198579,2,0
Thaddeus Young,30,PF,IND,81,2489,443,841,0.527,392,695,0.564,87,135,0.644,192,331,523,1024,12.642,13764045,6.457,2.37
TJ Leaf,21,PF,IND,58,522,99,183,0.541,91,152,0.599,19,31,0.613,43,82,125,225,3.879,2407560,2.155,0.741
Trey Lyles,23,PF,DEN,64,1120,207,495,0.418,156,295,0.529,81,116,0.698,44,202,246,546,8.531,3364249,3.844,0.688
Tyler Cavanaugh,24,PF,UTA,11,39,3,10,0.3,2,5,0.4,2,2,1,3,5,8,9,0.818,77250,0.727,0.273
Tyler Lydon,22,PF,DEN,25,94,9,18,0.5,5,8,0.625,1,3,0.333,7,11,18,23,0.92,1874640,0.72,0.28
Vince Carter,42,PF,ATL,76,1330,196,468,0.419,73,152,0.48,47,66,0.712,31,163,194,562,7.395,2393887,2.553,0.408
