Player,Age,Pos,Tm,G,GS,MP,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,PTS_per_game,PTS_per_min,ASTTOVR,Salary
Allen Crabbe,26,SG,BRK,43,20,1133,137,373,0.3672922252010724,98,259,0.3783783783783784,39,114,0.34210526315789475,41,56,0.7321428571428571,16,132,148,46,23,13,46,102,413,0.15013404825737264,9.604651162790697,0.3645189761694616,1,19332500
Allonzo Trier,23,SG,NYK,64,3,1459,232,518,0.44787644787644787,52,132,0.3939393939393939,180,386,0.46632124352331605,179,223,0.8026905829596412,31,166,197,119,28,14,116,117,695,0.4305019305019305,10.859375,0.47635366689513364,1.0258620689655173,3382000
Amir Johnson,31,C,PHI,51,6,529,79,157,0.5031847133757962,12,40,0.3,67,117,0.5726495726495726,31,41,0.7560975609756098,47,100,147,60,16,13,45,99,201,0.2611464968152866,3.9411764705882355,0.3799621928166352,1.3333333333333333,2393887
Andre Drummond,25,C,DET,79,79,2647,561,1052,0.5332699619771863,5,38,0.13157894736842105,556,1014,0.5483234714003945,243,412,0.5898058252427184,423,809,1232,112,136,138,175,272,1370,0.3916349809885932,17.341772151898734,0.5175670570457122,0.64,25434262
Andre Iguodala,35,SF,GSW,68,13,1578,151,302,0.5,48,144,0.3333333333333333,103,158,0.6518987341772152,39,67,0.582089552238806,48,204,252,216,61,51,52,95,389,0.22185430463576158,5.720588235294118,0.24651457541191382,4.153846153846154,16000000
Andrew Harrison,24,"PG, PG, PG","MEM, NOP, CLE",17,0,187,16,53,0.3018867924528302,5,25,0.2,11,28,0.39285714285714285,17,18,0.9444444444444444,6,14,20,24,4,2,12,34,54,0.33962264150943394,3.176470588235294,0.2887700534759358,2,354500
Andrew Wiggins,23,SF,MIN,73,73,2543,498,1209,0.4119106699751861,118,348,0.3390804597701149,380,861,0.4413472706155633,207,296,0.6993243243243243,83,269,352,184,70,48,138,153,1321,0.24483043837882548,18.095890410958905,0.5194651985843491,1.3333333333333333,25467250
Anfernee Simons,19,SG,POR,20,1,141,28,63,0.4444444444444444,10,29,0.3448275862068966,18,34,0.5294117647058824,9,16,0.5625,3,10,13,13,1,0,11,9,75,0.25396825396825395,3.75,0.5319148936170213,1.1818181818181819,1837800
Anthony Davis,25,C,NOP,56,56,1850,530,1026,0.5165692007797271,48,145,0.3310344827586207,482,881,0.547105561861521,344,433,0.7944572748267898,174,498,672,218,88,135,112,132,1452,0.4220272904483431,25.928571428571427,0.7848648648648648,1.9464285714285714,25434263
Anthony Tolliver,33,PF,MIN,65,0,1079,99,259,0.38223938223938225,81,215,0.3767441860465116,18,44,0.4090909090909091,47,60,0.7833333333333333,15,162,177,46,17,21,36,91,326,0.23166023166023167,5.015384615384615,0.30213160333642264,1.2777777777777777,5750000
Antonio Blakeney,22,SG,CHI,57,3,829,166,396,0.41919191919191917,36,91,0.3956043956043956,130,305,0.4262295081967213,50,76,0.6578947368421053,7,99,106,42,12,9,35,41,418,0.1919191919191919,7.333333333333333,0.5042219541616405,1.2,1349383
Aron Baynes,32,C,BOS,51,18,821,105,223,0.47085201793721976,21,61,0.3442622950819672,84,162,0.5185185185185185,53,62,0.8548387096774194,88,152,240,57,12,34,40,125,284,0.27802690582959644,5.568627450980392,0.3459196102314251,1.425,5193600
Austin Rivers,26,"SG, SG","WAS, HOU",76,15,2028,232,572,0.40559440559440557,104,327,0.3180428134556575,128,245,0.5224489795918368,50,95,0.5263157894736842,25,137,162,167,47,23,68,207,618,0.1660839160839161,8.131578947368421,0.3047337278106509,2.4558823529411766,13155324
Avery Bradley,28,"SG, SG","MEM, LAC",63,63,1905,248,608,0.40789473684210525,86,245,0.3510204081632653,162,363,0.4462809917355372,43,50,0.86,43,132,175,152,41,16,89,167,625,0.08223684210526316,9.920634920634921,0.32808398950131235,1.7078651685393258,12000000
Bam Adebayo,21,C,MIA,82,28,1913,280,486,0.5761316872427984,3,15,0.2,277,471,0.5881104033970276,166,226,0.7345132743362832,165,432,597,184,71,65,121,203,729,0.46502057613168724,8.890243902439025,0.3810768426555149,1.5206611570247934,2955840
Ben McLemore,25,SG,SAC,19,0,158,25,64,0.390625,17,41,0.4146341463414634,8,23,0.34782608695652173,8,12,0.6666666666666666,3,14,17,4,6,3,5,22,75,0.1875,3.9473684210526314,0.47468354430379744,0.8,5460000
Ben Simmons,22,PG,PHI,79,79,2700,540,960,0.5625,0,6,0,540,954,0.5660377358490566,257,428,0.6004672897196262,172,525,697,610,112,61,274,209,1337,0.44583333333333336,16.924050632911392,0.4951851851851852,2.2262773722627736,6434520
Billy Garrett,24,SG,NYK,4,0,63,11,27,0.4074074074074074,0,8,0,11,19,0.5789473684210527,4,4,1,0,3,3,7,1,1,2,3,26,0.14814814814814814,6.5,0.4126984126984127,3.5,67370
BJ Johnson,23,"SF, SF","SAC, ATL",7,0,49,9,18,0.5,3,7,0.42857142857142855,6,11,0.5454545454545454,2,2,1,2,6,8,0,2,0,2,4,23,0.1111111111111111,3.2857142857142856,0.46938775510204084,0,142111
Blake Griffin,29,PF,DET,75,75,2622,619,1341,0.4615958240119314,189,522,0.3620689655172414,430,819,0.525030525030525,414,550,0.7527272727272727,100,465,565,402,52,28,253,199,1841,0.41014168530947054,24.546666666666667,0.7021357742181541,1.5889328063241106,31873932
Boban Marjanovic,30,"C, C","PHI, LAC",58,12,681,160,260,0.6153846153846154,4,10,0.4,156,250,0.624,98,131,0.7480916030534351,87,178,265,54,16,27,59,90,422,0.5038461538461538,7.275862068965517,0.6196769456681351,0.9152542372881356,9490740
Bobby Portis,23,"PF, PF","CHI, WAS",50,28,1299,279,628,0.4442675159235669,75,191,0.39267015706806285,204,437,0.4668192219679634,77,97,0.7938144329896907,109,294,403,72,35,20,74,145,710,0.15445859872611464,14.2,0.5465742879137798,0.972972972972973,2494346
Bogdan Bogdanovic,26,SG,SAC,70,17,1947,361,863,0.4183082271147161,134,372,0.3602150537634409,227,491,0.4623217922606925,134,162,0.8271604938271605,40,203,243,267,72,15,117,142,990,0.18771726535341832,14.142857142857142,0.5084745762711864,2.282051282051282,9000000
Bojan Bogdanovic,29,SF,IND,81,81,2573,522,1051,0.4966698382492864,164,386,0.42487046632124353,358,665,0.5383458646616541,246,305,0.8065573770491803,33,300,333,161,69,1,134,138,1454,0.29019980970504283,17.950617283950617,0.5650991061018267,1.2014925373134329,10500000
Bonzie Colson,23,SF,MIL,8,2,98,13,39,0.3333333333333333,5,21,0.23809523809523808,8,18,0.4444444444444444,8,9,0.8888888888888888,8,22,30,3,5,1,3,3,39,0.23076923076923078,4.875,0.3979591836734694,1,77250
Brad Wanamaker,29,PG,BOS,36,0,343,50,105,0.47619047619047616,16,39,0.41025641025641024,34,66,0.5151515151515151,24,28,0.8571428571428571,3,38,41,56,12,2,19,34,140,0.26666666666666666,3.888888888888889,0.40816326530612246,2.9473684210526314,838464
Bradley Beal,25,SG,WAS,82,82,3028,764,1609,0.4748290863890615,209,596,0.35067114093959734,555,1013,0.5478775913129319,362,448,0.8080357142857143,89,322,411,448,121,58,224,226,2099,0.27843380981976384,25.597560975609756,0.6931968295904888,2,25434262
